License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
November 12 2015,819997,Dixie,Dog,Terrier,Mix,98125
March 24 2016,900605,Chloe,Dog,"Chihuahua, Short Coat",Mix,98125
May 21 2018,21081,Molly,Dog,"Retriever, Labrador","Poodle, Standard",98121
May 27 2018,283603,Whidbey,Dog,Terrier,"Retriever, Flat-Coated",98112
June 18 2018,359079,Chinook,Dog,"Retriever, Labrador",,98136
June 19 2018,S144848,Penny,Dog,"Retriever, Labrador",,98115
June 21 2018,215454,Peggy Sue,Dog,"Bulldog, French",,98126
July 08 2018,S144996,Summer,Dog,"Australian Shepherd, Miniature",Australian Cattle Dog,98177
July 10 2018,S112107,Tess,Dog,Border Collie,Australian Shepherd,98117
July 10 2018,S116838,Emmy,Dog,"Schnauzer, Miniature",,98144
July 10 2018,359128,Layla,Dog,"Retriever, Golden",,98199
August 30 2018,S145979,Ranee,Dog,Shih Tzu,,98144
September 08 2018,730695,Nancy,Dog,"Retriever, Nova Scotia Duck Tolling",,98119
September 17 2018,730387,Chloe,Dog,Terrier,Mix,98117
September 22 2018,S107300,Sophie,Dog,"Terrier, Rat",,98126
September 29 2018,8001379,Snow,Dog,Dutch Shepherd,,98125
September 29 2018,8001380,Abby,Dog,Retriever,Siberian Husky,98125
October 07 2018,80082,Ginger,Dog,"Retriever, Labrador",,98115
October 12 2018,8001796,Sunshine,Dog,"Chihuahua, Short Coat",Mix,98118
October 28 2018,8002270,Juno,Dog,"Retriever, Labrador",Mix,98102
November 05 2018,S101767,Roni,Dog,"Poodle, Toy",Mix,98107
November 16 2018,S123011,Sandy,Dog,Terrier,Mix,98106
November 17 2018,8001581,Phinnie,Dog,Bernese Mountain Dog,,98117
November 17 2018,8002845,Emi,Dog,Retriever,,98136
November 22 2018,8001584,Winnie,Dog,Schipperke,,98117
November 28 2018,905902,Lucia,Dog,"Retriever, Labrador","Poodle, Standard",98199
November 29 2018,S125723,Ellie,Dog,"Chihuahua, Long Coat","Dachshund, Miniature Smooth Haired",98106
December 07 2018,S101093,Betsy,Dog,Basenji,,98106
December 14 2018,960199,Kellee,Dog,"Retriever, Labrador",,98115
December 16 2018,8003870,Ella,Dog,"Retriever, Labrador",,98133
December 27 2018,137312,Lillie,Dog,Shih Tzu,,98116
January 02 2019,8004336,Penelope,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98125
January 20 2019,S101177,Sophie,Dog,"Welsh Corgi, Cardigan",Terrier,98144
January 20 2019,S101178,Trixie,Dog,Terrier,Mix,98144
January 21 2019,8004883,Emma,Dog,"Retriever, Golden",,98103
January 26 2019,S107664,Millie,Dog,Havanese,,98105
February 20 2019,23834,Sierra,Dog,"Retriever, Labrador",Mix,98117
February 25 2019,28716,Riley,Dog,"Terrier, Border",,98107
February 27 2019,8005923,Lady Kassandra Yu Countess of Wallingford DBE,Dog,Border Collie,German Shepherd,98103
March 09 2019,8006196,Bella Noche,Dog,"Bulldog, French","Spaniel, Cavalier King Charles",98136
March 11 2019,358115,Skookum,Dog,"Retriever, Labrador",Rhodesian Ridgeback,98118
March 14 2019,960111,Nisse,Dog,Border Collie,,98107
March 17 2019,27297,Lexie,Dog,"Retriever, Golden",,98102
March 21 2019,8006598,Darcy,Dog,German Shepherd,,98125
March 26 2019,S145774,Shorty,Dog,"Terrier, Boston",,98109
March 29 2019,727958,Sylvie,Dog,Xoloitzcuintli,,98125
April 09 2019,138004,Sally,Dog,"Terrier, Fox, Wire",,98103
April 09 2019,S132899,Minnie,Dog,"Chihuahua, Short Coat",Mix,98116
April 27 2019,S131990,Lucy,Dog,"Chihuahua, Short Coat","Terrier, Jack Russell",98101
May 12 2019,726475,LuluBelle,Dog,"Bulldog, French",,98118
May 20 2019,8006773,Anna,Dog,Shiba Inu,"Terrier, Rat",98126
May 21 2019,8008229,Winnie Greybear,Dog,"Retriever, Labrador",,98121
June 11 2019,S151480,Isabella,Dog,Australian Shepherd,Mix,98117
June 11 2019,S107638,Joy,Dog,"Chihuahua, Short Coat",,98133
July 05 2019,8009430,Tica,Dog,Mix,Mix,98105
July 08 2019,S137930,Bella,Dog,Border Collie,"Retriever, Labrador",98112
July 10 2019,S138963,Paddy,Dog,"Dachshund, Miniature Smooth Haired",,98118
July 19 2019,8009863,Matilda,Dog,Dogue de Bordeaux,,98144
July 21 2019,S132019,Stella,Dog,Border Collie,Australian Cattle Dog,98177
July 30 2019,8010198,Annie,Dog,Bernese Mountain Dog,,98116
August 13 2019,S115966,Michonne,Dog,Papillon,Mix,98102
August 22 2019,8010893,Calli,Dog,Pudelpointer,Mix,98122
August 22 2019,S100565,Lopez,Dog,"Retriever, Labrador",Border Collie,98115
August 28 2019,S151635,Stella,Dog,Weimaraner,,98177
August 28 2019,8011103,Sasha,Dog,Lhasa Apso,,98115
August 30 2019,S123137,Willow,Dog,Australian Cattle Dog,Mix,98126
August 31 2019,358883,Luna,Dog,"Retriever, Golden",,98144
September 02 2019,131560,Katie,Dog,Basset Hound,,98115
September 04 2019,830563,Serena,Dog,"Schnauzer, Miniature",,98115
September 11 2019,8011512,Zoe,Dog,"Griffon Vendeen, Grand Basset",,98103
September 14 2019,8011593,Kenai,Dog,Alaskan Husky,,98122
September 15 2019,8011617,Luna Rose,Dog,"Poodle, Miniature","Retriever, Golden",98115
September 17 2019,903278,Lucy,Dog,German Shepherd,,98115
September 22 2019,8011810,Cocoa Butter Chanel,Dog,Miniature Pinscher,Mix,98178
September 22 2019,8011813,Rosebud,Dog,Maltese,"Terrier, Yorkshire",98199
September 27 2019,S150821,Maggie,Dog,"Retriever, Labrador",Mix,98117
September 29 2019,S138352,Koda,Dog,"Retriever, Labrador",Terrier,98103
October 01 2019,8012074,Sky,Dog,Retriever,,98105
October 01 2019,8012077,Cappuccino,Dog,Terrier,Mix,98122
October 01 2019,8012081,Ruthie,Dog,"Retriever, Golden",,98199
October 02 2019,8012091,Hazel,Dog,"Retriever, Labrador","Poodle, Miniature",98122
October 02 2019,S148651,Lizzie,Dog,"Dachshund, Standard Smooth Haired",Mix,
October 02 2019,8012096,Juniper,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98108
October 02 2019,8012107,Bailey,Dog,"Retriever, Golden",,98199
October 03 2019,8012110,Sweet Pepper,Dog,Shih Tzu,,98112
October 03 2019,8012111,Lola,Dog,"Poodle, Miniature","Spaniel, American Cocker",98125
October 03 2019,S148652,Missy,Dog,Basenji,Mix,98133
October 03 2019,8012117,FREYJA,Dog,Australian Shepherd,Mix,98102
October 03 2019,S153911,Noelia,Dog,Border Collie,,98101
October 03 2019,8012120,Penny,Dog,"Chihuahua, Short Coat",Terrier,98106
October 03 2019,8012122,Kiera,Dog,Mix,Mix,98102
October 03 2019,834513,Onyx,Dog,"Retriever, Labrador","Poodle, Standard",98115
October 03 2019,S150841,June,Dog,Australian Cattle Dog,Mix,98116
October 03 2019,8012128,Lapis,Dog,Greyhound,,98106
October 03 2019,S137710,Rosie,Dog,"Chihuahua, Short Coat",,98107
October 03 2019,8012135,Luca,Dog,"Retriever, Labrador",,98117
October 04 2019,8012136,Talia,Dog,"Chihuahua, Short Coat","Terrier, Boston",98146
October 04 2019,S137390,Juno,Dog,"Retriever, Labrador",Rhodesian Ridgeback,98108
October 04 2019,8012140,Badger,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98107
October 04 2019,834556,Susie,Dog,"Setter, Gordon",,98103
October 04 2019,S105347,Lema,Dog,Retriever,,98107
October 04 2019,834033,Bess,Dog,"Welsh Corgi, Cardigan",,98146
October 04 2019,S105370,Elsa,Dog,German Shepherd,,98138
October 04 2019,S101694,Scout,Dog,"Retriever, Labrador",Mix,98105
October 04 2019,S104051,Cassie,Dog,Basenji,Mix,98177
October 04 2019,830110,bridget wiley,Dog,"Terrier, Rat","Chihuahua, Short Coat",98144
October 04 2019,830614,Maddy,Dog,"Retriever, Golden",Chow Chow,98118
October 04 2019,S105045,Bodhi,Dog,"Retriever, Labrador","Poodle, Standard",98118
October 05 2019,830032,Bess,Dog,"Retriever, Labrador","Poodle, Standard",98199
October 05 2019,8012173,Langley,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98117
October 05 2019,S136489,Saku,Dog,Shiba Inu,,98108
October 05 2019,830966,Lulu,Dog,Border Collie,,98144
October 05 2019,826514,Polly,Dog,"Spaniel, American Cocker","Poodle, Miniature",98116
October 05 2019,830160,Opal,Dog,"Terrier, Jack Russell","Chihuahua, Short Coat",98112
October 05 2019,S150847,Kira,Dog,"Retriever, Labrador",Mix,98115
October 05 2019,S104947,Winnie,Dog,"Retriever, Labrador",Mix,98199
October 05 2019,S105007,Cicada,Dog,Australian Cattle Dog,Border Collie,98122
October 05 2019,8012189,Kiki,Dog,Whippet,,98122
October 05 2019,8012194,Daisy,Dog,Australian Shepherd,,98115
October 06 2019,8012201,Abby,Dog,"Terrier, Norwich",,98155
October 06 2019,8012209,Bonita,Dog,Border Collie,,98133
October 06 2019,S137266,Maisy,Dog,"Retriever, Labrador","Poodle, Standard",98116
October 06 2019,S138395,Buttercup,Dog,Bernese Mountain Dog,,98125
October 07 2019,830644,Lula,Dog,Australian Shepherd,,98126
October 07 2019,S111176,Izzy,Dog,Great Dane,,98112
October 07 2019,834608,Pearl,Dog,"Poodle, Standard",,98105
October 07 2019,8012238,Daisy,Dog,"Retriever, Labrador",,98112
October 07 2019,830780,Gertie,Dog,"Terrier, American Staffordshire",Australian Cattle Dog,98122
October 07 2019,830921,Pamp,Dog,"Terrier, Jack Russell","Dachshund, Standard Smooth Haired",98118
October 07 2019,S137152,Hound Mixed,Dog,Hound,,98126
October 07 2019,8012255,Zelda,Dog,Lhasa Apso,,98112
October 07 2019,830939,Kona,Dog,"Retriever, Labrador",,98199
October 07 2019,S151730,Anubis,Dog,"Chihuahua, Short Coat",Mix,98102
October 07 2019,828287,Brandy,Dog,"Dachshund, Standard Long Haired",,98199
October 07 2019,S137079,Casper,Dog,"Terrier, Jack Russell",Mix,98115
October 07 2019,S136037,Luna,Dog,Terrier,,98117
October 07 2019,834502,Kira,Dog,"Retriever, Golden",,98125
October 07 2019,834532,Emma,Dog,"Retriever, Golden",,98125
October 07 2019,S101820,Peaches,Dog,"Spaniel, American Cocker",Mix,98106
October 07 2019,8012277,Chai,Dog,German Shepherd,Rottweiler,98106
October 08 2019,8012285,Evian,Dog,"Spaniel, Cavalier King Charles",Havanese,98119
October 08 2019,831085,Moya,Dog,"Poodle, Miniature",,98116
October 08 2019,8012288,"Isadora ""Iz or Izzy""",Dog,Portuguese Water Dog,,98102
October 08 2019,8012290,Tofu,Dog,"Retriever, Golden",,98006
October 08 2019,834303,Molly,Dog,"Terrier, Boston","Terrier, Rat",98136
October 08 2019,8012293,Maisel Manca,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)","Mixed Breed, Medium (up to 44 lbs fully grown)",98177
October 08 2019,8012296,Ceviz,Dog,Kangal,Mix,98103
October 08 2019,8012297,Ava,Dog,"Retriever, Nova Scotia Duck Tolling",,98144
October 08 2019,8012299,Penny,Dog,"Retriever, Labrador",,98177
October 08 2019,8012302,Toffee,Dog,Lhasa Apso,Mix,98136
October 08 2019,834188,Sasha,Dog,Australian Shepherd,Mix,98117
October 08 2019,830148,Asia,Dog,"Chihuahua, Long Coat",,98109
October 08 2019,8012303,Shadow,Dog,Australian Cattle Dog,"Retriever, Labrador",98117
October 09 2019,8012314,Uno,Dog,"Retriever, Labrador","Collie, Rough",98108
October 09 2019,S137709,Peanut,Dog,"Retriever, Labrador",,98112
October 09 2019,8012318,Roo,Dog,Pomeranian,,98119
October 09 2019,8012320,Willow,Dog,English Shepherd,,98133
October 09 2019,828406,Astra,Dog,"Spaniel, English Springer",,98119
October 09 2019,S150852,Harlequin,Dog,"Terrier, American Staffordshire",Mix,98106
October 09 2019,8012329,Chica,Dog,"Chihuahua, Short Coat",,
October 09 2019,8012330,Dotty,Dog,Australian Cattle Dog,Mix,98117
October 09 2019,8001982,Frankie,Dog,"Poodle, Miniature","Spaniel, American Cocker",98125
October 09 2019,8001983,Ozzy,Dog,"Poodle, Miniature","Spaniel, American Cocker",98125
October 09 2019,8012331,Maddie,Dog,"Terrier, Boston",,98112
October 09 2019,S136948,Dutchess,Dog,Retriever,German Shepherd,98144
October 09 2019,829189,Molly,Dog,"Poodle, Miniature","Schnauzer, Miniature",98115
October 09 2019,S102708,Ziggy,Dog,"Schnauzer, Miniature","Poodle, Miniature",98107
October 10 2019,834040,Mattie,Dog,"Retriever, Labrador","Poodle, Standard",98116
October 10 2019,S136279,Ruthie,Dog,Havanese,,98122
October 10 2019,831901,Sailor,Dog,"Retriever, Labrador",,98103
October 10 2019,S104741,Gibbs,Dog,Mix,,98121
October 10 2019,S105750,Callie,Dog,"Poodle, Miniature","Schnauzer, Miniature",98136
October 10 2019,S105302,Molly,Dog,Maltese,"Poodle, Miniature",98103
October 10 2019,S136927,Hawk,Dog,Chow Chow,,98101
October 10 2019,8012355,Stella,Dog,"Terrier, American Pit Bull",,98125
October 10 2019,8012358,Chloe,Dog,Doberman Pinscher,,98105
October 10 2019,8012361,Sylvie,Dog,"Retriever, Labrador",Mix,98121
October 11 2019,8012368,Penelope,Dog,"Terrier, Boston",,98122
October 11 2019,834169,Cookie,Dog,"Retriever, Labrador",Rottweiler,98115
October 11 2019,830716,Kaia,Dog,Shiba Inu,,98122
October 11 2019,833016,Peachi,Dog,Pekingese,,98103
October 11 2019,S137497,Quinn,Dog,"Retriever, Golden",,98119
October 11 2019,444219,Molly,Dog,"Retriever, Chesapeake Bay",,98136
October 11 2019,S104809,Libby,Dog,"Retriever, Golden",,98126
October 11 2019,729291,Fiona,Dog,"Terrier, American Pit Bull",Mix,98133
October 11 2019,831644,Rosa,Dog,Pointer,Catahoula Leopard dog,98125
October 11 2019,S104923,Gertie,Dog,Terrier,Mix,98144
October 12 2019,S153705,Sadie,Dog,"Retriever, Labrador",Mix,98107
October 12 2019,834367,Coco,Dog,"Retriever, Labrador",,98199
October 12 2019,8012402,Ginger,Dog,"Welsh Corgi, Pembroke","Retriever, Golden",98103
October 12 2019,8012403,Sunniva,Dog,White Swiss Shepherd (Berger Blanc Suisse),,98125
October 12 2019,S148673,Baby,Dog,Terrier,"Poodle, Miniature",98148
October 12 2019,8012413,Peach,Dog,Retriever,Mix,98103
October 12 2019,S105469,Callie,Dog,Border Collie,Australian Shepherd,98115
October 12 2019,834391,Lady,Dog,Bichon Frise,,98115
October 13 2019,S136908,Taylor,Dog,Pharaoh Hound,"Retriever, Labrador",98115
October 13 2019,S151733,Molly,Dog,"Retriever, Labrador",Mix,98115
October 13 2019,831862,Zoe,Dog,"Retriever, Labrador","Poodle, Standard",98112
October 13 2019,833025,Foxy,Dog,"Dachshund, Standard Smooth Haired",Mix,98116
October 13 2019,S104067,Meeka,Dog,"Terrier, Yorkshire",Mix,98103
October 13 2019,S106028,Luna,Dog,Terrier,,98125
October 13 2019,S136968,Viola,Dog,"Poodle, Miniature",Mix,98125
October 13 2019,8012436,Cleo,Dog,German Shepherd,Mix,98125
October 13 2019,S137405,Metis,Dog,"Retriever, Labrador",,98108
October 13 2019,S105735,Gracie,Dog,"Poodle, Standard","Retriever, Labrador",98103
October 13 2019,S137780,Jalebi,Dog,"Poodle, Standard","Retriever, Labrador",98115
October 13 2019,S135841,Maja,Dog,Irish Wolfhound,"Poodle, Standard",98125
October 14 2019,830449,Willow,Dog,"Chihuahua, Short Coat",Terrier,98177
October 14 2019,8012451,Gracie,Dog,Lowchen,,98101
October 14 2019,831077,Sophie,Dog,"Retriever, Labrador",,98125
October 14 2019,8012462,Peach,Dog,Terrier,"Spaniel, American Cocker",98144
October 15 2019,830959,Honey,Dog,"Retriever, Golden","Poodle, Miniature",98126
October 15 2019,834152,Daisy,Dog,"Retriever, Golden",,98125
October 15 2019,8012491,Rosita,Dog,Xoloitzcuintli,,98199
October 15 2019,8012493,Chloe,Dog,Whippet,Mix,98177
October 15 2019,S151749,Silvia,Dog,"Poodle, Toy",Mix,98199
October 15 2019,8012503,Scarlett,Dog,"Retriever, Labrador",,98116
October 15 2019,S136949,Moo,Dog,"Retriever, Labrador",,98103
October 16 2019,828271,Oolong,Dog,Border Collie,,98109
October 16 2019,S138707,Aranyos Tunder,Dog,Puli,,98115
October 16 2019,S138708,Huncut Hamupipoke,Dog,Puli,,98115
October 16 2019,8012511,Curie,Dog,Shiba Inu,,98004
October 16 2019,832626,Mitzi,Dog,Havanese,,98199
October 16 2019,830817,Millie,Dog,"Retriever, Labrador","Poodle, Standard",98199
October 16 2019,8012523,Mochi,Dog,"Poodle, Standard","Retriever, Golden",98117
October 17 2019,830111,Rory,Dog,"Terrier, American Pit Bull",,98103
October 17 2019,8012532,Penny,Dog,"Bulldog, English",,98125
October 17 2019,S150868,Minnie,Dog,Pomeranian,"Dachshund, Miniature Smooth Haired",98108
October 17 2019,831968,Salty,Dog,"Retriever, Golden","Poodle, Standard",98116
October 17 2019,8012545,Aurora,Dog,"Retriever, Golden",Chow Chow,98119
October 17 2019,S137246,Grete,Dog,Border Collie,Great Pyrenees,98125
October 18 2019,S119749,Kiki,Dog,"Poodle, Standard",Mix,98133
October 18 2019,831979,Rogue,Dog,"Retriever, Labrador",Australian Cattle Dog,98199
October 18 2019,S105127,Alsea,Dog,Terrier,"Retriever, Golden",98106
October 18 2019,8012563,Ruby,Dog,Catahoula Leopard dog,Terrier,98112
October 19 2019,8012568,Penny,Dog,"Terrier, Rat",,98117
October 19 2019,S140040,Sophie,Dog,"Retriever, Labrador","Poodle, Standard",98109
October 19 2019,8012570,Karma,Dog,Bichon Frise,,98103
October 19 2019,S136352,Guai Guai,Dog,Shiba Inu,Border Collie,98144
October 19 2019,834358,Penny,Dog,Brittany,,98122
October 19 2019,S148709,Tallulah,Dog,Pug,,98122
October 19 2019,8012586,Aurora,Dog,Siberian Husky,,98178
October 20 2019,S105015,Grace,Dog,German Shepherd,"Retriever, Labrador",98133
October 20 2019,S148713,Nala,Dog,"Retriever, Labrador",Mix,98177
October 21 2019,831512,Chiquita,Dog,Pomeranian,,98106
October 21 2019,S131868,Ella,Dog,Havanese,Mix,98119
October 21 2019,S137511,Tuti,Dog,"Chihuahua, Short Coat",Mix,98106
October 21 2019,8012617,Roxy,Dog,"Retriever, Labrador",,98117
October 21 2019,S137022,Poppy,Dog,Old English Sheepdog,"Poodle, Standard",98105
October 21 2019,S105741,Mandy,Dog,Siberian Husky,Siberian Husky,98105
October 21 2019,8012629,Cassie,Dog,"Retriever, Labrador","Mixed Breed, Medium (up to 44 lbs fully grown)",98115
October 21 2019,S113454,Cricket,Dog,"Welsh Corgi, Pembroke","Australian Shepherd, Miniature",98117
October 21 2019,S151758,Lucy,Dog,Pug,Mix,98119
October 21 2019,8012640,Sophi,Dog,Border Collie,Mix,98136
October 21 2019,S137891,Zelda,Dog,"Retriever, Labrador","Poodle, Standard",98122
October 21 2019,S105416,Honey Kovalev,Dog,Catahoula Leopard dog,,98177
October 22 2019,8012658,Bella,Dog,"Bulldog, American",Mix,98122
October 22 2019,828263,Sophie,Dog,Bichon Frise,,98103
October 22 2019,S103785,Panda,Dog,"Terrier, Manchester",,98109
October 22 2019,8012673,Buffy,Dog,"Spaniel, Cavalier King Charles",,98106
October 22 2019,8012682,Kayla,Dog,Shiba Inu,Mix,98136
October 22 2019,826732,Candee,Dog,"Poodle, Miniature",,98103
October 22 2019,8001920,River,Dog,"Retriever, Golden","Poodle, Standard",98177
October 22 2019,8012686,Luna,Dog,"Retriever, Labrador",Mix,98125
October 22 2019,830687,Skye,Dog,German Shepherd,Siberian Husky,98107
October 22 2019,834421,Frankie,Dog,Australian Cattle Dog,"Retriever, Flat-Coated",98109
October 23 2019,8012692,Andi,Dog,Boxer,Australian Cattle Dog,98118
October 23 2019,8012693,Goldie,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)","Spaniel, American Cocker",98199
October 23 2019,8012696,Cayenne,Dog,"Retriever, Labrador",Doberman Pinscher,98119
October 23 2019,S150873,Sophie,Dog,"Retriever, Labrador",Mix,98199
October 23 2019,S151760,Cocoa,Dog,"Chihuahua, Short Coat",Mix,98104
October 23 2019,S151761,Daisy,Dog,Pekingese,Mix,98102
October 23 2019,S148725,Amy,Dog,Maltese,"Terrier, Yorkshire",98126
October 23 2019,S137778,Millie,Dog,"Retriever, Labrador",Spaniel,98117
October 23 2019,904965,Lia,Dog,Catahoula Leopard dog,Border Collie,98199
October 24 2019,S150877,Eek! A Mouse,Dog,Boxer,Mix,98101
October 24 2019,S105756,Maggie,Dog,"Dachshund, Standard Smooth Haired","Chihuahua, Short Coat",98106
October 24 2019,S105757,Rita,Dog,"Dachshund, Standard Smooth Haired","Chihuahua, Short Coat",98106
October 24 2019,S148726,Stella,Dog,"Chihuahua, Long Coat",,98126
October 24 2019,834122,Isis,Dog,Doberman Pinscher,Border Collie,98177
October 24 2019,8012735,Oreo,Dog,"Terrier, Bull",Mix,98125
October 25 2019,829613,Chloe,Dog,Border Collie,,98112
October 25 2019,8012744,Meghan,Dog,"Retriever, Labrador","Retriever, Golden",98199
October 25 2019,834646,Phinney,Dog,"Retriever, Labrador","Poodle, Standard",98115
October 25 2019,S150879,Cookie,Dog,Australian Shepherd,"Poodle, Miniature",98116
October 25 2019,S135876,Shabba,Dog,Mix,,98103
October 25 2019,S103999,Ginger,Dog,Coton de Tulear,,98105
October 26 2019,S104781,Lucy,Dog,"Poodle, Standard",,98118
October 26 2019,831954,Luna,Dog,"Retriever, Golden",,98103
October 26 2019,S153913,Lucky (May),Dog,"Retriever, Labrador",Mix,98133
October 26 2019,S105131,Rosemary,Dog,"Spaniel, American Water",,98125
October 27 2019,8012776,Maisy,Dog,Mix,Mix,98117
October 27 2019,8012788,Lily,Dog,"Retriever, Labrador",,98118
October 27 2019,S151765,Peanut,Dog,"Chihuahua, Short Coat",Mix,98125
October 28 2019,S101222,Shelby,Dog,"Terrier, Yorkshire","Poodle, Miniature",98115
October 28 2019,8012811,Harper,Dog,Havanese,,98040
October 28 2019,830346,Nellie,Dog,Australian Cattle Dog,,98105
October 28 2019,S137766,Duff,Dog,"Chihuahua, Short Coat","Dachshund, Miniature Smooth Haired",98126
October 28 2019,8012819,Isabella,Dog,"Retriever, Labrador",,98118
October 29 2019,S115138,Vee,Dog,German Shepherd,,98125
October 29 2019,S137514,KC,Dog,"Chihuahua, Short Coat",Mix,98117
October 29 2019,S135593,Maya Papaya Herrera,Dog,Rhodesian Ridgeback,Shepherd,98133
October 30 2019,S142989,Ruby,Dog,"Terrier, American Pit Bull","Retriever, Labrador",98136
October 30 2019,S151773,Nova,Dog,German Shepherd,Mix,98118
October 30 2019,8012847,Bronx,Dog,"Terrier, American Pit Bull",Mix,98103
October 30 2019,S151776,Laika,Dog,"Retriever, Labrador","Mixed Breed, Large (over 44 lbs fully grown)",98107
October 30 2019,8012851,Bentley,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98144
October 30 2019,S137788,Dakota,Dog,"Terrier, Jack Russell","Terrier, Rat",98115
October 31 2019,S109584,Marley,Dog,"Terrier, Jack Russell","Chihuahua, Short Coat",98126
October 31 2019,830779,Cj,Dog,Greyhound,,98125
October 31 2019,8012871,Jasmine,Dog,German Shepherd,Mix,98115
October 31 2019,S150905,Annie,Dog,Chinese Shar-Pei,"Retriever, Labrador",98103
November 01 2019,8012884,Chi,Dog,German Shepherd,Mix,98144
November 01 2019,8012888,Lana,Dog,Plott Hound,Mix,98126
November 01 2019,830778,Hailey,Dog,Schipperke,,98119
November 01 2019,733233,Tala,Dog,"Terrier, American Pit Bull",,98144
November 01 2019,8012892,Lily,Dog,"Terrier, Jack Russell",,98144
November 01 2019,S105001,Piper,Dog,"Welsh Corgi, Cardigan",,98106
November 01 2019,S150911,Sonya,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98117
November 01 2019,830322,Pia,Dog,Australian Shepherd,,98117
November 01 2019,8012898,Shasta,Dog,"Retriever, Labrador",,98136
November 01 2019,8012899,Nettle,Dog,"Retriever, Golden",Great Pyrenees,98109
November 01 2019,828258,Aiden,Dog,"Setter, Irish",Mix,98103
November 02 2019,8012914,Juno,Dog,Basenji,,98101
November 02 2019,8012915,Tully-Dew,Dog,Shiba Inu,,98101
November 02 2019,8012929,Dova,Dog,"Welsh Corgi, Pembroke",,98125
November 02 2019,8012930,Kala,Dog,Plott Hound,"Mixed Breed, Large (over 44 lbs fully grown)",98106
November 03 2019,8012937,Emma,Dog,Maltese,"Poodle, Toy",98116
November 03 2019,8012938,Holly,Dog,German Shepherd,Mix,98122
November 03 2019,S151785,Daisee,Dog,"Terrier, American Pit Bull","Retriever, Labrador",98103
November 03 2019,S151787,Baby Bell,Dog,"Chihuahua, Short Coat",,
November 03 2019,8012958,Ellie,Dog,"Retriever, Labrador",,98199
November 03 2019,8012961,Annie,Dog,Beagle,Mix,98107
November 03 2019,8012966,Jade,Dog,"Retriever, Labrador",Mix,98125
November 03 2019,8012970,LilyMae FluffyButt,Dog,Australian Shepherd,,98144
November 04 2019,8012976,Kala,Dog,Terrier,Mix,98102
November 04 2019,8012978,Gia,Dog,Great Pyrenees,,98102
November 04 2019,8012988,Josie,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98115
November 05 2019,8013001,Stella,Dog,Spaniel,Mix,98103
November 05 2019,8013012,Pearl Ailor,Dog,"Terrier, American Staffordshire",,98121
November 05 2019,S137389,Kaylee,Dog,Bichon Frise,Maltese,98118
November 06 2019,899588,Poppy,Dog,"Retriever, Labrador",Mix,98103
November 06 2019,S150924,Iris,Dog,German Shepherd,Great Pyrenees,98122
November 06 2019,S134277,Serena,Dog,"Chihuahua, Short Coat",Mix,98133
November 06 2019,826626,Troble,Dog,Shepherd,Mix,98115
November 06 2019,S138078,Elizabeth,Dog,Bichon Frise,,98106
November 06 2019,S118188,Tippy,Dog,Terrier,Mix,98136
November 07 2019,8013045,Kairi,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98121
November 07 2019,960854,Boodles,Dog,"Terrier, Jack Russell",,98105
November 07 2019,8013059,Ruby,Dog,Shih Tzu,"Poodle, Miniature",98199
November 07 2019,S105155,Ginger,Dog,"Chihuahua, Short Coat",Pug,98116
November 08 2019,8013062,Roxy,Dog,"Retriever, Labrador",,98115
November 08 2019,8013067,YEON,Dog,Korean Jindo,Mix,98105
November 08 2019,8013073,Regan,Dog,Retriever,"Retriever, Golden",98122
November 08 2019,8013074,Riley,Dog,Retriever,"Retriever, Golden",98122
November 08 2019,S153917,Maggie,Dog,"Retriever, Chesapeake Bay",,98133
November 08 2019,S150932,Lily,Dog,Australian Cattle Dog,"Retriever, Labrador",98107
November 08 2019,831870,Ellie Rai,Dog,"Schnauzer, Miniature",,98108
November 08 2019,S104013,Freeduh,Dog,"Poodle, Miniature",Mix,98101
November 08 2019,8013090,Sorry,Dog,"Welsh Corgi, Pembroke",,98102
November 09 2019,8013093,Dory,Dog,"Spaniel, Cavalier King Charles",,98118
November 09 2019,8013097,Rosie,Dog,"Bulldog, French",,98119
November 09 2019,8013098,Babette,Dog,"Bulldog, French",,98199
November 09 2019,8013099,Juneau,Dog,German Shepherd,Siberian Husky,98115
November 09 2019,S138223,Stella,Dog,Spaniel,Shetland Sheepdog,
November 09 2019,S108063,Artemis,Dog,Shepherd,,98199
November 09 2019,903393,Bing,Dog,"Spaniel, Welsh Springer",,98199
November 09 2019,8013106,Luna,Dog,"Poodle, Standard","Retriever, Golden",98102
November 09 2019,8013109,Aurora,Dog,"Poodle, Standard",Mix,98115
November 09 2019,S150941,Pudding Pie,Dog,Rottweiler,Mix,98106
